,0_Interquartile range,0_Kurtosis,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
88,0.383019357,-0.407540742,0.339566376,0.237622419,0.253479272,0.193212423,0.4420343,0.793348021,0.282999997,0.080088999,0
89,0.392541259,-0.57620012,0.33939197,0.249509209,0.217964779,0.162052976,0.448581712,0.78678866,0.293323445,0.086038643,0
90,0.394087294,-0.636368834,0.343482243,0.252774539,0.217964779,0.173853347,0.451940073,0.751206153,0.293717175,0.086269779,0
91,0.40493169,-0.697060014,0.355364873,0.251198697,0.253479272,0.19756747,0.45947134,0.679033856,0.291255418,0.084829719,0
92,0.39167801,-0.638312268,0.346034185,0.251254903,0.248747056,0.192627734,0.453541936,0.731984111,0.293190434,0.08596063,0
93,0.292836652,0.076887735,0.370714394,0.206941418,0.287905904,0.151386657,0.451549791,0.927076977,0.257813987,0.066468052,0
94,0.262125228,0.441012796,0.344686482,0.197515884,0.280965565,0.128301618,0.429250992,1.103785617,0.255827371,0.065447644,0
95,0.250624396,0.358832286,0.333585963,0.200721096,0.279002949,0.128870662,0.424237777,1.107196856,0.262103218,0.068698097,0
96,0.266875736,0.037890332,0.350424728,0.207878019,0.284746632,0.121475842,0.439046619,0.989170115,0.264507928,0.069964444,0
97,0.375641025,-0.305214972,0.368644785,0.220353449,0.284746632,0.121475842,0.458085563,0.873021547,0.271925368,0.073943406,0
98,0.419364322,-0.554243572,0.383507344,0.240214738,0.284746632,0.13636196,0.479610127,0.811698162,0.288006929,0.082947991,0
99,0.456056092,-0.753326586,0.396745388,0.256660677,0.290813327,0.153404096,0.498027651,0.74251433,0.301039265,0.090624639,0
100,0.484300226,-0.951143411,0.386326024,0.274091165,0.224148209,0.160679213,0.49567478,0.638848007,0.310557064,0.09644569,0
101,0.52762587,-1.088512291,0.405648684,0.285419697,0.288382869,0.217512573,0.515363848,0.539037413,0.317882119,0.101049042,0
102,0.544527302,-1.133911247,0.395615844,0.276353662,0.321311066,0.224451137,0.502408019,0.448218678,0.309680354,0.095901921,0
103,0.307743138,1.02583149,0.299275366,0.200924329,0.247372547,0.148025654,0.395091888,1.268375713,0.257937697,0.066531856,0
104,0.359210187,0.051141884,0.338287022,0.2261841,0.27338323,0.177831628,0.442633268,1.015317241,0.285457704,0.081486101,0
105,0.31216976,0.40176807,0.300259113,0.229722135,0.184221462,0.098352171,0.416446041,1.274227507,0.288568484,0.08327177,0
106,0.297138088,0.421041155,0.280815829,0.239764754,0.135879396,0.071046873,0.408533962,1.334060056,0.296719511,0.088042468,1
107,0.477701009,-1.236453467,0.436723774,0.284367106,0.543309946,0.350539892,0.539133348,0.256546618,0.316128316,0.099937112,1
108,0.142540183,1.887198356,0.602088591,0.142146333,0.563347264,0.054858971,0.637088051,-0.437379747,0.208255885,0.043370514,1
109,0.123475026,2.102396466,0.621221718,0.137470562,0.591599348,0.033685155,0.657310311,-0.866209023,0.214803217,0.046140422,1
110,0.152012704,1.601710868,0.62933032,0.14708684,0.632600065,0.066913166,0.668495448,-0.986304274,0.225454015,0.050829513,1
111,0.163721078,0.885038353,0.611138905,0.168039661,0.632600065,0.074889472,0.65882743,-0.926698094,0.246095148,0.060562822,1
112,0.167311158,0.387353666,0.59841122,0.183348317,0.632600065,0.084532841,0.652304906,-0.854302648,0.25962608,0.067405702,1
113,0.167311158,-0.003156405,0.586403309,0.19718232,0.632600065,0.084532841,0.646052226,-0.777434765,0.271135828,0.073514637,1
114,0.202148774,-0.31179884,0.577391386,0.211233794,0.638536624,0.098152061,0.641699115,-0.704065953,0.279994538,0.078396941,1
115,0.285344997,-0.549369248,0.566700084,0.222361345,0.632600065,0.137258778,0.634704705,-0.60663739,0.285834003,0.081701077,1
116,0.342555034,-0.778019635,0.55355386,0.23634763,0.627848146,0.172815574,0.626807327,-0.513366905,0.29405025,0.086465549,1
